Age,Language,Sex,Marital,Has_Credit,Field,Month_of_birth,Day_of_birth,Region,Number_of_credits,Linked_cards,INPS_mln_sum,INPS_yes_no,Score_level,Score_class,Changed_phone_number,y
45,2,2,4,1,0,11,1,12,2,1,1,1,0,0,1,0
33,2,2,4,1,0,12,1,0,1,1,1,1,0,0,1,0
41,2,2,4,1,0,10,1,13,1,2,1,0,0,0,1,0
35,1,2,4,1,0,6,1,13,1,1,1,1,0,0,2,0
27,1,1,5,1,0,9,1,13,4,1,1,1,0,0,1,0
27,1,2,4,1,0,4,1,13,5,2,2,0,0,0,1,0
24,1,1,7,1,0,5,1,13,1,1,1,1,0,0,1,0
29,1,1,5,1,0,9,1,13,1,1,1,1,0,0,1,0
27,1,1,5,1,0,3,1,13,1,3,1,0,0,0,1,0
31,1,1,5,1,0,7,1,13,2,1,1,0,0,0,1,0
45,1,1,5,1,0,5,1,12,1,1,1,0,3,6,1,0
35,1,2,4,1,0,8,1,12,2,1,2,1,0,0,1,0
41,1,2,4,1,0,11,1,12,2,1,1,0,0,0,1,0
36,1,2,4,1,0,12,1,13,1,1,1,1,0,0,1,0
23,1,1,7,1,0,10,1,12,1,1,1,0,0,0,1,0
52,1,2,4,1,0,9,1,13,1,1,1,1,0,0,1,0
32,1,2,4,1,0,6,1,13,1,1,1,1,0,0,1,0
34,1,2,4,1,0,6,1,13,2,1,1,1,0,0,1,0
46,1,2,4,1,0,12,1,12,2,1,1,0,3,7,1,0
28,1,2,6,1,0,9,1,13,1,1,1,1,0,0,1,0
34,1,2,4,1,0,4,1,13,1,2,2,1,0,0,1,0
28,2,2,6,1,0,7,1,13,1,1,1,1,0,0,2,0
39,1,2,4,1,0,9,1,12,1,1,2,1,0,0,1,0
24,1,2,6,1,0,2,1,3,1,2,1,0,0,0,1,0
34,1,1,5,1,0,9,1,13,1,2,1,1,0,0,1,0
22,1,2,6,1,0,6,1,13,1,1,1,0,0,0,1,0
34,1,1,5,1,0,12,1,13,1,2,1,1,0,0,1,0
33,2,1,5,1,0,8,1,12,1,1,1,1,0,0,1,0
25,1,2,4,1,0,7,1,13,1,1,1,1,0,0,1,0
41,1,2,4,2,0,11,1,13,1,1,1,1,0,0,1,0
50,1,2,4,2,0,1,1,13,1,1,1,0,3,5,1,0
33,1,2,4,2,0,5,1,13,1,2,1,1,0,0,1,0
30,1,1,5,2,0,12,1,10,1,2,1,1,0,0,1,0
39,1,1,5,1,0,4,1,13,1,2,1,1,0,0,1,0
43,1,2,4,1,0,10,1,3,1,2,2,1,0,0,1,0
53,1,1,5,1,0,9,1,13,1,1,1,0,3,5,1,0
33,2,2,4,1,0,4,1,12,1,1,1,1,0,0,1,0
37,2,2,4,1,0,10,1,12,5,2,1,1,0,0,1,0
28,2,2,6,1,0,11,1,12,1,3,1,1,0,0,1,0
39,1,2,4,2,0,3,1,0,1,2,1,1,0,0,1,0
35,1,2,4,1,0,6,1,13,1,2,1,1,0,0,1,0
34,1,1,5,1,0,1,1,12,1,1,1,1,0,0,1,0
44,1,1,5,1,0,10,1,12,1,1,1,1,0,0,1,0
34,2,2,1,1,0,9,1,13,1,1,1,1,0,0,1,0
33,1,2,4,1,0,7,1,13,1,2,1,0,2,8,1,0
25,2,2,6,1,0,7,1,13,1,1,2,1,0,0,1,0
31,1,2,4,1,0,4,1,6,1,1,1,0,0,0,1,0
35,2,2,6,1,0,4,1,13,2,1,1,1,0,0,2,0
31,1,2,4,1,0,10,1,13,1,1,1,1,0,0,1,0
45,1,1,5,1,0,8,1,10,1,2,1,1,0,0,1,0
28,1,2,4,1,0,9,1,6,1,1,1,1,0,0,2,0
24,2,1,7,1,0,10,1,13,1,2,1,1,0,0,1,0
28,2,2,4,1,0,2,1,13,1,2,1,1,0,0,1,0
28,1,2,6,1,0,2,1,12,1,1,1,1,0,0,1,0
39,1,1,2,1,0,11,1,12,3,3,1,1,0,0,1,0
23,1,1,7,1,0,9,1,12,1,1,1,1,0,0,1,0
55,1,1,5,1,0,7,1,12,2,2,1,1,0,0,1,0
27,1,2,6,1,0,12,1,12,2,1,1,1,0,0,2,0
28,1,1,5,1,0,7,1,12,1,1,1,1,0,0,1,0
26,2,2,1,1,0,3,1,12,1,2,2,1,0,0,1,0
32,1,2,6,1,0,12,1,13,1,1,1,1,0,0,1,0
37,1,1,5,1,0,10,1,12,2,1,1,1,0,0,1,0
33,1,2,4,1,0,4,1,13,1,1,1,0,0,0,1,0
20,1,1,5,1,0,2,1,13,1,1,1,1,0,0,1,0
46,1,2,4,1,0,5,1,13,1,1,1,0,3,6,1,0
23,1,1,7,1,0,4,1,13,1,1,1,0,0,0,1,0
53,1,2,4,1,0,8,1,3,1,2,0.7,1,0,0,1,0
38,1,2,1,1,0,8,1,13,1,1,1.1,1,0,0,1,0
33,1,2,4,1,0,1,1,9,2,1,4.7,0,2,10,1,0
25,2,2,6,1,0,8,1,13,2,1,0.9,0,0,0,3,0
32,1,1,1,1,0,11,1,13,2,1,8.8,0,3,7,1,0
29,1,2,6,1,0,11,1,10,1,1,1.4,1,0,0,1,0
28,2,2,4,1,0,10,1,13,2,1,3.1,1,0,0,1,0
49,1,2,4,1,0,4,1,13,1,1,3.2,0,3,5,1,0
28,1,2,4,1,0,7,1,13,1,1,0.7,1,0,0,1,0
29,1,2,4,1,0,4,1,14,1,1,0.5,1,0,0,1,0
50,1,2,4,1,0,4,1,12,1,1,4.5,1,0,0,1,0
38,1,2,4,1,0,4,1,10,2,1,1.4,0,3,5,1,0
52,2,2,4,1,0,1,1,10,1,1,4.5,1,0,0,1,0
26,1,2,4,1,0,12,1,12,1,1,2.7,1,0,0,1,0
32,1,1,5,1,0,12,1,12,1,1,1.8,1,0,0,1,0
31,1,2,4,1,0,11,1,12,1,1,3.1,1,0,0,1,0
38,1,1,5,1,0,3,1,4,1,1,0.7,0,0,0,1,0
33,1,2,4,1,0,8,1,13,1,1,0.3,0,0,0,1,0
38,1,2,4,1,0,2,1,13,2,1,1.8,0,3,6,1,0
23,1,2,4,1,0,11,1,6,1,1,2.2,1,0,0,1,0
29,1,2,4,1,0,7,1,12,1,1,1.1,0,0,0,1,0
23,1,2,6,1,0,5,1,13,1,1,0.2,1,0,0,1,0
33,1,2,4,1,0,5,1,13,1,1,2,1,0,0,1,0
27,1,2,4,1,0,1,1,13,1,2,5,1,0,0,2,0
27,1,1,7,1,0,3,1,13,2,1,3.2,1,0,0,1,0
43,1,2,4,1,0,2,1,6,1,1,2.2,1,0,0,2,0
34,1,2,4,1,0,8,1,13,2,2,0.3,1,0,0,1,0
24,1,1,5,1,0,3,1,13,1,2,1.7,1,0,0,1,0
39,1,2,4,1,0,10,1,4,1,2,3,1,0,0,1,0
35,1,1,5,1,0,2,1,13,1,2,2.9,1,0,0,1,0
50,1,2,4,1,0,5,1,13,1,1,0.8,0,0,0,1,0
55,1,1,5,1,0,6,1,13,1,1,0.6,0,0,0,2,0
25,1,2,4,1,0,7,1,13,1,2,0.6,1,0,0,1,0
32,1,2,4,1,0,7,1,12,1,2,1.5,1,0,0,1,0
